method_1, method_id1, method_2, method_id2, in_sim, out_sim, total_sim 
p1.Main-record()I,2,p3.Main3-record()I,2,1.0,1.0,1.0
p2.Main2-record()I,2,p3.Main3-record()I,2,1.0,1.0,1.0
p1.Main-record()I,2,p2.Main2-record()I,2,1.0,1.0,1.0
