method_1, method_id1, method_2, method_id2, in_sim, out_sim, total_sim 
p2.Main2-record(I)I,2,p3.Main3-record()I,2,1.0,0.0,0.2795308530330658
p1.Main-record()I,2,p2.Main2-record(I)I,2,1.0,1.0,1.0
p1.Main-record()I,2,p3.Main3-record()I,2,1.0,0.0,0.2795308530330658
p4.Main4-record(java.lang.Strin)I,2,p4.Main4-record2()I,3,0.3333333333333333,1.0,0.4454096555709839
p2.Main2-record(I)I,2,p4.Main4-record(java.lang.Strin)I,2,0.0,1.0,0.2795308530330658
p3.Main3-record()I,2,p4.Main4-record2()I,3,0.3333333333333333,0.0,0.12450573593378067
p1.Main-record()I,2,p4.Main4-record(java.lang.Strin)I,2,0.0,1.0,0.2795308530330658
p2.Main2-record(I)I,2,p4.Main4-record2()I,3,0.3333333333333333,1.0,0.4454096555709839
p1.Main-record()I,2,p4.Main4-record2()I,3,0.3333333333333333,1.0,0.4454096555709839
